HexID,slow_chargers,slow_footprint,slow_capacity_kWh_slot,medium_chargers,medium_footprint,medium_capacity_kWh_slot,fast_chargers,fast_footprint,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_charger_footprint,Total_public_capacity_kWh_slot
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,8.0,40.0,88.0,1.0,150.0,25.0,0.0,0.0,190.0,113.0
3,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
13,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
24,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
27,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
31,1.0,1.0,5.5,1.0,5.0,11.0,1.0,150.0,25.0,0.0,0.0,156.0,41.5
32,1.0,1.0,5.5,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,31.0,71.5
33,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
42,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
43,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
46,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
47,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.0,2.0,11.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,22.0,55.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
52,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
53,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
54,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
55,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
56,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
57,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
61,2.0,2.0,11.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,22.0,55.0
62,1.0,1.0,5.5,13.0,65.0,143.0,0.0,0.0,0.0,0.0,0.0,66.0,148.5
63,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
64,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
65,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
66,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
69,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
70,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
71,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
72,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
78,0.0,0.0,0.0,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,165.0,58.0
79,0.0,0.0,0.0,7.0,35.0,77.0,0.0,0.0,0.0,0.0,0.0,35.0,77.0
80,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
81,1.0,1.0,5.5,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,31.0,71.5
82,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
83,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
84,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
85,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
86,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
87,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
88,1.0,1.0,5.5,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,26.0,60.5
89,1.0,1.0,5.5,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,26.0,60.5
90,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
91,1.0,1.0,5.5,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,166.0,63.5
92,0.0,0.0,0.0,7.0,35.0,77.0,2.0,300.0,50.0,0.0,0.0,335.0,127.0
93,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
94,0.0,0.0,0.0,1.0,5.0,11.0,1.0,150.0,25.0,0.0,0.0,155.0,36.0
95,10.0,10.0,55.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,20.0,77.0
96,0.0,0.0,0.0,16.0,80.0,176.0,0.0,0.0,0.0,0.0,0.0,80.0,176.0
97,11.0,11.0,60.5,6.0,30.0,66.0,1.0,150.0,25.0,0.0,0.0,191.0,151.5
98,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
99,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
100,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
101,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
102,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
103,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
106,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
107,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
108,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
109,0.0,0.0,0.0,14.0,70.0,154.0,0.0,0.0,0.0,0.0,0.0,70.0,154.0
110,1.0,1.0,5.5,7.0,35.0,77.0,1.0,150.0,25.0,0.0,0.0,186.0,107.5
111,1.0,1.0,5.5,0.0,0.0,0.0,1.0,150.0,25.0,0.0,0.0,151.0,30.5
112,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,160.0,47.0
113,0.0,0.0,0.0,9.0,45.0,99.0,2.0,300.0,50.0,0.0,0.0,345.0,149.0
114,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
115,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
116,1.0,1.0,5.5,4.0,20.0,44.0,1.0,150.0,25.0,0.0,0.0,171.0,74.5
117,1.0,1.0,5.5,3.0,15.0,33.0,2.0,300.0,50.0,0.0,0.0,316.0,88.5
118,1.0,1.0,5.5,3.0,15.0,33.0,2.0,300.0,50.0,0.0,0.0,316.0,88.5
119,1.0,1.0,5.5,9.0,45.0,99.0,0.0,0.0,0.0,0.0,0.0,46.0,104.5
120,0.0,0.0,0.0,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,30.0,66.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
123,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
124,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
125,0.0,0.0,0.0,9.0,45.0,99.0,0.0,0.0,0.0,0.0,0.0,45.0,99.0
126,5.0,5.0,27.5,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,30.0,82.5
127,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
128,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
129,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
132,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1.0,1.0,5.5,6.0,30.0,66.0,1.0,150.0,25.0,0.0,0.0,181.0,96.5
135,0.0,0.0,0.0,9.0,45.0,99.0,1.0,150.0,25.0,0.0,0.0,195.0,124.0
136,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
137,1.0,1.0,5.5,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,166.0,63.5
138,0.0,0.0,0.0,9.0,45.0,99.0,2.0,300.0,50.0,0.0,0.0,345.0,149.0
139,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
140,0.0,0.0,0.0,1.0,5.0,11.0,1.0,150.0,25.0,0.0,0.0,155.0,36.0
141,1.0,1.0,5.5,5.0,25.0,55.0,1.0,150.0,25.0,0.0,0.0,176.0,85.5
142,1.0,1.0,5.5,4.0,20.0,44.0,2.0,300.0,50.0,0.0,0.0,321.0,99.5
143,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
144,1.0,1.0,5.5,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,31.0,71.5
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,11.0,11.0,60.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,26.0,93.5
147,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
148,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
149,0.0,0.0,0.0,13.0,65.0,143.0,1.0,150.0,25.0,0.0,0.0,215.0,168.0
150,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
153,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1.0,1.0,5.5,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,31.0,71.5
156,0.0,0.0,0.0,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,165.0,58.0
157,1.0,1.0,5.5,3.0,15.0,33.0,2.0,300.0,50.0,0.0,0.0,316.0,88.5
158,1.0,1.0,5.5,1.0,5.0,11.0,2.0,300.0,50.0,0.0,0.0,306.0,66.5
159,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
160,1.0,1.0,5.5,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,166.0,63.5
161,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
162,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
163,1.0,1.0,5.5,1.0,5.0,11.0,1.0,150.0,25.0,0.0,0.0,156.0,41.5
164,0.0,0.0,0.0,10.0,50.0,110.0,1.0,150.0,25.0,0.0,0.0,200.0,135.0
165,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
166,1.0,1.0,5.5,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,161.0,52.5
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
169,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,6.0,30.0,66.0,1.0,150.0,25.0,0.0,0.0,180.0,91.0
172,1.0,1.0,5.5,6.0,30.0,66.0,1.0,150.0,25.0,0.0,0.0,181.0,96.5
173,1.0,1.0,5.5,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,21.0,49.5
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1.0,1.0,5.5,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,16.5
176,0.0,0.0,0.0,4.0,20.0,44.0,1.0,150.0,25.0,0.0,0.0,170.0,69.0
177,0.0,0.0,0.0,10.0,50.0,110.0,0.0,0.0,0.0,0.0,0.0,50.0,110.0
178,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
179,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
180,1.0,1.0,5.5,8.0,40.0,88.0,1.0,150.0,25.0,0.0,0.0,191.0,118.5
181,0.0,0.0,0.0,5.0,25.0,55.0,2.0,300.0,50.0,0.0,0.0,325.0,105.0
182,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1.0,1.0,5.5,4.0,20.0,44.0,1.0,150.0,25.0,0.0,0.0,171.0,74.5
185,8.0,8.0,44.0,4.0,20.0,44.0,2.0,300.0,50.0,0.0,0.0,328.0,138.0
186,1.0,1.0,5.5,6.0,30.0,66.0,1.0,150.0,25.0,0.0,0.0,181.0,96.5
187,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
188,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
189,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
190,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
191,0.0,0.0,0.0,9.0,45.0,99.0,0.0,0.0,0.0,0.0,0.0,45.0,99.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
194,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
195,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
196,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
197,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
198,0.0,0.0,0.0,6.0,30.0,66.0,0.0,0.0,0.0,0.0,0.0,30.0,66.0
199,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0
200,0.0,0.0,0.0,8.0,40.0,88.0,0.0,0.0,0.0,0.0,0.0,40.0,88.0
201,0.0,0.0,0.0,3.0,15.0,33.0,1.0,150.0,25.0,0.0,0.0,165.0,58.0
202,0.0,0.0,0.0,4.0,20.0,44.0,2.0,300.0,50.0,0.0,0.0,320.0,94.0
203,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
204,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0
205,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
206,1.0,1.0,5.5,8.0,40.0,88.0,1.0,150.0,25.0,0.0,0.0,191.0,118.5
207,1.0,1.0,5.5,8.0,40.0,88.0,0.0,0.0,0.0,0.0,0.0,41.0,93.5
208,1.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5
209,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
210,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,0.0,0.0,160.0,47.0
211,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
